name of product,price of product,ratings of product,number ratings of product,link of product
PlayStation 5 Console,0,4.9 out of 5 stars,"1,503",https://www.amazon.com/PlayStation-5-Console/dp/B09DFCB66S/ref=sr_1_1?keywords=ps5&qid=1641227797&sr=8-1
NBA 2K22 - PlayStation 5,29.99,4.7 out of 5 stars,694,https://www.amazon.com/NBA-2K22-PlayStation-5/dp/B098Y8WC15/ref=sr_1_2?keywords=ps5&qid=1641227797&sr=8-2
PlayStation DualSense Wireless Controller – Midnight Black,69.00,4.8 out of 5 stars,"39,130",https://www.amazon.com/PlayStation-DualSense-Wireless-Controller-Midnight-5/dp/B094WL86N5/ref=sr_1_3?keywords=ps5&qid=1641227797&sr=8-3
Marvel’s Guardians of the Galaxy - PlayStation 5,29.99,4.8 out of 5 stars,753,https://www.amazon.com/Marvels-Guardians-Galaxy-PlayStation-5/dp/B096WZFCHR/ref=sr_1_4?keywords=ps5&qid=1641227797&sr=8-4
Playstation DualSense Wireless Controller,69.00,4.8 out of 5 stars,"39,130",https://www.amazon.com/DualSense-Wireless-Controller-PlayStation-5/dp/B08FC6C75Y/ref=sr_1_5?keywords=ps5&qid=1641227797&sr=8-5
Sabrent 4TB Rocket 4 Plus NVMe 4.0 Gen4 PCIe M.2 Internal Extreme Performance SSD + M.2 NVMe Heatsink for The PS5 Console (SB-RKT4P-PSHS-4TB),"1,099.99",4.8 out of 5 stars,775,https://www.amazon.com/Sabrent-Internal-Performance-Heatsink-SB-RKT4P-PSHS-4TB/dp/B09G2P4PYP/ref=sr_1_6?keywords=ps5&qid=1641227797&sr=8-6
Far Cry 6 PlayStation 5 Standard Edition,24.99,4.6 out of 5 stars,672,https://www.amazon.com/Far-Cry-6-PlayStation-5-Standard/dp/B08FS6BB8W/ref=sr_1_7?keywords=ps5&qid=1641227797&sr=8-7
"OIVO PS5 Stand with Suction Cooling Fan and Dual Controller Charger Station for Playstation 5 PS5 Console, Suction Cooler Fan with Charging Dock Station and 12 Games Storage- 2 IN1 Cable Included",0,4.6 out of 5 stars,"3,451",https://www.amazon.com/Controller-Playstation-Charging-Storage-Included-4/dp/B08T1KHHR9/ref=sr_1_8?keywords=ps5&qid=1641227797&sr=8-8
CRONUS ZEN and PS5 DONGLE Bundle,217.99,3.4 out of 5 stars,82,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01226212EVKAOBAT665M&url=%2FCRONUS-ZEN-DONGLE-Bundle-Playstation-5%2Fdp%2FB093Y83WPH%2Fref%3Dsr_1_9_sspa%3Fkeywords%3Dps5%26qid%3D1641227797%26sr%3D8-9-spons%26psc%3D1%26smid%3DA3L62TZYQD0ZUH&qualifier=1641227797&id=8133284622181367&widgetName=sp_mtf
"PS5 Controller Charger Station, PS5 Charging Station with Fast Charging AC Adapter 5V/3A, Playstation 5 Dual Controller Charging Stand, OIVO Docking Station Replacement for DualSense Charging Station",0,4.7 out of 5 stars,"3,063",https://www.amazon.com/OIVO-Controller-Compatible-Playstation-Indicators/dp/B08LZGPPBH/ref=sr_1_10?keywords=ps5&qid=1641227797&sr=8-10
FIFA 22 - PlayStation 5,29.99,4.6 out of 5 stars,382,https://www.amazon.com/FIFA-22-PlayStation-5/dp/B098KS12NL/ref=sr_1_11?keywords=ps5&qid=1641227797&sr=8-11
"Seagate FireCuda 530 1TB Internal Solid State Drive - M.2 PCIe Gen4 ×4 NVMe 1.4, PS5 Internal SSD, speeds up to 7300MB/s, 3D TLC NAND, 1275 TBW, 1.8M MTBF, Heatsink, Rescue Services (ZP1000GM3A023)",209.99,4.8 out of 5 stars,"1,283",https://www.amazon.com/Seagate-FireCuda-Internal-Solid-State/dp/B0977LW48F/ref=sr_1_12?keywords=ps5&qid=1641227797&sr=8-12
Battlefield 2042 - PlayStation 5,39.82,3.8 out of 5 stars,324,https://www.amazon.com/Battlefield-2042-PlayStation-5/dp/B096HSJ6PJ/ref=sr_1_13?keywords=ps5&qid=1641227797&sr=8-13
Oyen Digital 2TB 5400RPM Hard Drive Upgrade Kit - Sony PlayStation 4 (PS4) - PlayStation 4,99.00,4.6 out of 5 stars,472,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0835441UBVI1NULPVWZ&url=%2FOyen-Digital-5400RPM-Hard-Drive-Upgrade%2Fdp%2FB08P29FSVJ%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dps5%26qid%3D1641227797%26sr%3D8-14-spons%26psc%3D1&qualifier=1641227797&id=8133284622181367&widgetName=sp_mtf
Kena: Bridge of Spirits - Deluxe Edition (PS5) - PlayStation 5,49.99,4.8 out of 5 stars,171,https://www.amazon.com/Kena-Bridge-Spirits-Deluxe-PS5-PlayStation/dp/B09H73CXNT/ref=sr_1_15?keywords=ps5&qid=1641227797&sr=8-15
